"Title","Subtitle","Review Score","Ratings","Author","Age","ABSR","# Of Pages","KWT","Price","DY Sales","MO Sales","Sales Page"
"Out of a Dream (Sandy Cove Series Book 1)","",4.2,6288,"rosemary hines",4419,7255,300,"No","$ 0","$ 0","$ 0","https://www.amazon.com/Out-Dream-Sandy-Cove-Book-ebook/dp/B00JJR28M8"
"Murder in Half Moon Bay","a jillian bradley mystery book 1",4,2469,"nancy jill thames",4541,5382,221,"No","$ 0","$ 0","$ 0","https://www.amazon.com/Murder-Half-Moon-Bay-Jillian-ebook/dp/B004CLYG9E"
"MESSAGES","a suspense mystery novel (the david chance series book 1)",4.2,4333,"john michael hileman",4530,7704,342,"No","$ 0","$ 0","$ 0","https://www.amazon.com/MESSAGES-David-Chance-Book-1-ebook/dp/B005ECT8DO"
"Hazardous Duty","squeaky clean mysteries  book 1",4.4,13109,"christy barritt",4510,1999,241,"No","$ 0","$ 0","$ 0","https://www.amazon.com/Hazardous-Duty-Mysteries-Suspense-Christian-ebook/dp/B007NJCDKQ"
"Secrets of the Heart","a christian clean suspense romance (the crystal cove series book 1)",3.9,645,"kelsey macbride",3449,3939,140,"No","$ 0","$ 0","$ 0","https://www.amazon.com/Secrets-Heart-Christian-Suspense-Romance-ebook/dp/B01MYVAHMC"
"Hidden Currents (Lantern Beach Mysteries Book 1)","",4.4,3996,"christy barritt",3039,2389,298,"No","$ 0","$ 0","$ 0","https://www.amazon.com/Hidden-Currents-Lantern-Beach-Mysteries-ebook/dp/B0791GBCB3"
"The Preacher's First Murder (The Pastor Matt Hayden Mystery Series","",4.4,2007,"k.p. gresham",2612,6505,253,"No","$ 0","$ 0","$ 0","https://www.amazon.com/Preachers-First-Murder-Pastor-Hayden-ebook/dp/B07PV6CKWR"
"Captive Memory (A Faith-Based Fiction Thriller Book 1)","",4.6,236,"jimmy gear",648,483,193,"No","$ 0","$ 0","$ 0","https://www.amazon.com/Captive-Memory-Faith-Based-Fiction-Thriller-ebook/dp/B0DC5TLMX1"
"Unintended Target","a christian suspense novel (the unintended series book 1)",4.6,1982,"d.l. wood",3876,77238,341,"No","$ 2.99","$ 8","$ 194","https://www.amazon.com/Unintended-Target-D-L-Wood-ebook/dp/B0163BAWK2"
"Into the Lion's Den","a religious amateur detective mystery (reverend margot quade cozy mysteries book 1)",4.1,649,"s.e. biglow",2274,1436,144,"No","$ 0","$ 0","$ 0","https://www.amazon.com/Into-Lions-Den-Christian-Mysteries-ebook/dp/B084Z6CFS6"
